popularity,title,genre
3845,Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']"
4566,Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']"
2372,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']"
859,Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']"
568,Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']"
1753,Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']"
2298,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']"
2880,Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']"
670,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']"
2696,Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']"
464,Jormungand,"['Action', 'Adventure', 'Seinen']"
214,Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']"
3089,Hello World,['Sci-Fi']
1357,Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']"
3310,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']"
5587,Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']"
2557,Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']"
2476,Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']"
4061,City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']"
1882,Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']"
279,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']"
2026,Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']"
2979,The Everlasting Guilty Crown,['Music']
366,Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']"
939,Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']"
172,Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']"
774,Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']"
2462,Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']"
641,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']"
470,Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']"
71,Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']"
164,InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']"
1290,Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']"
1003,Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']"
1163,Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']"
1083,Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']"
3700,Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']"
1043,Vampire Hunter D (2000),"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']"
1283,Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']"
2553,Seitokai Yakuindomo Movie,"['Slice of Life', 'Comedy', 'School', 'Shounen']"
3506,Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']"
1991,Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']"
2629,Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']"
2993,Hibike! Euphonium Movie 3: Chikai no Finale,"['Drama', 'Music', 'School']"
55,Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']"
3333,Haikyuu!! Movie 4: Concept no Tatakai,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
3905,Detective Conan Movie 08: Time Travel of the Silver Sky,"['Adventure', 'Mystery']"
2402,Detective Conan Movie 07: Crossroad in the Ancient Capital,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']"
1863,Yuru Yuri Nachuyachumi!,"['Comedy', 'Shoujo Ai', 'Slice of Life']"
936,Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']"
576,Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']"
6,Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']"
1016,Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']"
4352,Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']"
2636,Planetarian: Hoshi no Hito,"['Sci-Fi', 'Drama']"
9,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']"
4091,Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']"
1281,Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']"
2808,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']"
388,Gake no Ue no Ponyo,"['Adventure', 'Fantasy']"
21,Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']"
3375,Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']"
567,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","['Drama', 'Romance', 'School']"
1391,Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']"
3772,Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']"
2115,Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']"
4309,Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']"
923,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']"
1394,Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']"
2227,Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']"
3462,Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']"
1293,Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']"
1727,Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']"
3956,Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']"
3148,Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
